tag,patterns,responses,patterns_str,responses_str
greeting,hello,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hello,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hello,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey there,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey there,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey there,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey there,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey there,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,howdy,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,howdy,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,howdy,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,howdy,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,howdy,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hola,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hola,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hola,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hola,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hola,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,bonjour,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,bonjour,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,bonjour,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,bonjour,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,bonjour,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hay,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hay,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hay,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hay,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hay,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,sasa,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,sasa,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,sasa,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,sasa,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,sasa,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good evening,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good evening,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good evening,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good evening,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good evening,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good afternoon,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good afternoon,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good afternoon,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good afternoon,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,good afternoon,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
morning,good morning,good morning. i hope you had a good night's sleep. how are you feeling today?,Good morning,Good morning. I hope you had a good night's sleep. How are you feeling today? 
afternoon,good afternoon,good afternoon. how is your day going?,Good afternoon,Good afternoon. How is your day going?
evening,good evening,good evening. how has your day been?,Good evening,Good evening. How has your day been?
night,good night,good night. get some proper sleep,Good night,Good night. Get some proper sleep Good night. Sweet dreams.
night,good night,good night. sweet dreams.,Good night,Good night. Get some proper sleep Good night. Sweet dreams.
goodbye,bye,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,bye,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,bye,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,bye,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,see you later,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,see you later,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,see you later,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,see you later,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,goodbye,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,goodbye,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,goodbye,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,goodbye,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,au revoir,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,au revoir,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,au revoir,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,au revoir,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,sayonara,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,sayonara,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,sayonara,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,sayonara,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,ok bye,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,ok bye,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,ok bye,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,ok bye,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,bye then,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,bye then,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,bye then,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,bye then,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,fare thee well,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,fare thee well,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,fare thee well,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
goodbye,fare thee well,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.
thanks,thanks,happy to help!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,thanks,any time!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,thanks,my pleasure,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,thanks,you're most welcome!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,thank you,happy to help!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,thank you,any time!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,thank you,my pleasure,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,thank you,you're most welcome!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,that's helpful,happy to help!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,that's helpful,any time!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
thanks,that's helpful,my pleasure,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!
