,tag,patterns,responses
42,what is depression?,what is depression?,"['Depression is a common and serious medical illness that negatively affects how you feel, the way you think and how you act.fortunately,it is also treatable.depression causes feelings of sadness and/or a loss of interest in activities you once enjoyed. it can lead to a variety of emotional and physical problems and can decrease your ability to function at work and at home.']"
43,skill,What can you do?,"[""I can provide general advice regarding anxiety and depression, answer questions related to mental health and make daily conversations. Do not consider me as a subsitute for an actual mental healthcare worker. Please seek help if you don't feel satisfied with me.""]"
44,creation,Who created you?,"['I was created by >.', 'I was trained on a text dataset using Deep Learning & Natural Language Processing techniques', 'The real question is: Who created you?']"
45,creation,How were you made?,"['I was created by >.', 'I was trained on a text dataset using Deep Learning & Natural Language Processing techniques', 'The real question is: Who created you?']"
46,creation,How were you created?,"['I was created by >.', 'I was trained on a text dataset using Deep Learning & Natural Language Processing techniques', 'The real question is: Who created you?']"
47,help,Could you help me?,"['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
48,help,give me a hand please,"['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
49,help,Can you help?,"['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
50,help,What can you do for me?,"['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
51,help,I need support,"['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
52,help,I need help,"['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
53,help,Support me please,"['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
54,sad,I am feeling lonely,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
55,sad,I am so lonely,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
56,sad,I feel down,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
57,sad,I feel sad,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
58,sad,I am sad,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
59,sad,I feel so lonely,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
60,sad,I feel empty,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
61,sad,I don't have anyone,"[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
62,stressed,I am so stressed out,"['What do you think is causing this?', 'Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated', 'Give yourself a break. Go easy on yourself.', 'I am sorry to hear that. What is the reason behind this?']"
63,stressed,I am so stressed,"['What do you think is causing this?', 'Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated', 'Give yourself a break. Go easy on yourself.', 'I am sorry to hear that. What is the reason behind this?']"
64,stressed,I feel stuck,"['What do you think is causing this?', 'Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated', 'Give yourself a break. Go easy on yourself.', 'I am sorry to hear that. What is the reason behind this?']"
65,stressed,I still feel stressed,"['What do you think is causing this?', 'Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated', 'Give yourself a break. Go easy on yourself.', 'I am sorry to hear that. What is the reason behind this?']"
66,stressed,I am so burned out,"['What do you think is causing this?', 'Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated', 'Give yourself a break. Go easy on yourself.', 'I am sorry to hear that. What is the reason behind this?']"
67,worthless,I feel so worthless.,"[""It's only natural to feel this way. Tell me more. What else is on your mind?"", ""Let's discuss further why you're feeling this way."", 'I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.', 'i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.']"
68,worthless,No one likes me.,"[""It's only natural to feel this way. Tell me more. What else is on your mind?"", ""Let's discuss further why you're feeling this way."", 'I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.', 'i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.']"
69,worthless,I can't do anything.,"[""It's only natural to feel this way. Tell me more. What else is on your mind?"", ""Let's discuss further why you're feeling this way."", 'I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.', 'i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.']"
70,worthless,I am so useless,"[""It's only natural to feel this way. Tell me more. What else is on your mind?"", ""Let's discuss further why you're feeling this way."", 'I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.', 'i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.']"
71,worthless,Nothing makes sense anymore,"[""It's only natural to feel this way. Tell me more. What else is on your mind?"", ""Let's discuss further why you're feeling this way."", 'I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.', 'i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.']"
72,depressed,I can't take it anymore,"[""It helps to talk about what's happening. You're going to be okay"", 'Talk to me. Tell me more. It helps if you open up yourself to someone else.', 'Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal.']"
73,depressed,I am so depressed,"[""It helps to talk about what's happening. You're going to be okay"", 'Talk to me. Tell me more. It helps if you open up yourself to someone else.', 'Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal.']"
74,depressed,I think i'm depressed.,"[""It helps to talk about what's happening. You're going to be okay"", 'Talk to me. Tell me more. It helps if you open up yourself to someone else.', 'Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal.']"
75,depressed,I have depression,"[""It helps to talk about what's happening. You're going to be okay"", 'Talk to me. Tell me more. It helps if you open up yourself to someone else.', 'Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal.']"
76,happy,I feel great today.,"[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
77,happy,I am happy.,"[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
78,happy,I feel happy.,"[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
79,happy,I'm good.,"[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
80,happy,cheerful,"[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
81,happy,I'm fine,"[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
82,happy,I feel ok,"[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
83,casual,Oh I see.,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
84,casual,ok,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
85,casual,okay,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
86,casual,nice,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
87,casual,Whatever,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
88,casual,K,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
89,casual,Fine,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
90,casual,yeah,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
91,casual,yes,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
92,casual,no,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
93,casual,not really,"[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
94,anxious,I feel so anxious.,"[""Don't be hard on yourself. What's the reason behind this?"", 'Can you tell me more about this feeling?', 'I understand that it can be scary. Tell me more about it.', ""Don't let the little worries bring you down. What's the worse that can happen?""]"
95,anxious,I'm so anxious because of ,"[""Don't be hard on yourself. What's the reason behind this?"", 'Can you tell me more about this feeling?', 'I understand that it can be scary. Tell me more about it.', ""Don't let the little worries bring you down. What's the worse that can happen?""]"
96,not-talking,I don't want to talk about it.,"[""Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."", ""I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."", ""I'm here to listen to you and help you vent. So please talk to me."", 'You can talk to me without fear of judgement.']"
97,not-talking,No just stay away.,"[""Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."", ""I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."", ""I'm here to listen to you and help you vent. So please talk to me."", 'You can talk to me without fear of judgement.']"
98,not-talking,I can't bring myself to open up.,"[""Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."", ""I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."", ""I'm here to listen to you and help you vent. So please talk to me."", 'You can talk to me without fear of judgement.']"
99,not-talking,Just shut up,"[""Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."", ""I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."", ""I'm here to listen to you and help you vent. So please talk to me."", 'You can talk to me without fear of judgement.']"
100,sleep,I have insominia,"['What do you think is the reason behind this?', 'That seem awful. What do you think is behind this?']"
101,sleep,I am suffering from insomnia,"['What do you think is the reason behind this?', 'That seem awful. What do you think is behind this?']"
102,sleep,I can't sleep.,"['What do you think is the reason behind this?', 'That seem awful. What do you think is behind this?']"
103,sleep,I haven't slept for the last days.,"['What do you think is the reason behind this?', 'That seem awful. What do you think is behind this?']"
104,sleep,I can't seem to go to sleep.,"['What do you think is the reason behind this?', 'That seem awful. What do you think is behind this?']"
105,sleep,I haven't had proper sleep for the past few days.,"['What do you think is the reason behind this?', 'That seem awful. What do you think is behind this?']"
106,scared,I'm scared,"[""It's only natural to feel this way. I'm here for you."", ""It'll all be okay. This feeling is only momentary."", ""I understand how you feel. Don't put yourself down because of it.""]"
107,scared,That sounds awful. What do i do?,"[""It's only natural to feel this way. I'm here for you."", ""It'll all be okay. This feeling is only momentary."", ""I understand how you feel. Don't put yourself down because of it.""]"
108,scared,No i don't want to feel this way,"[""It's only natural to feel this way. I'm here for you."", ""It'll all be okay. This feeling is only momentary."", ""I understand how you feel. Don't put yourself down because of it.""]"
109,scared,I am scared for myself,"[""It's only natural to feel this way. I'm here for you."", ""It'll all be okay. This feeling is only momentary."", ""I understand how you feel. Don't put yourself down because of it.""]"
110,death,My mom died,"[""I'm sorry to hear that. If you want to talk about it. I'm here."", 'I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time.', ""My condolences. I'm here if you need to talk.""]"
111,death,My brother died,"[""I'm sorry to hear that. If you want to talk about it. I'm here."", 'I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time.', ""My condolences. I'm here if you need to talk.""]"
112,death,My dad passed away,"[""I'm sorry to hear that. If you want to talk about it. I'm here."", 'I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time.', ""My condolences. I'm here if you need to talk.""]"
113,death,My sister passed away,"[""I'm sorry to hear that. If you want to talk about it. I'm here."", 'I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time.', ""My condolences. I'm here if you need to talk.""]"
114,death,Someone in my family died,"[""I'm sorry to hear that. If you want to talk about it. I'm here."", 'I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time.', ""My condolences. I'm here if you need to talk.""]"
115,death,My friend passed away,"[""I'm sorry to hear that. If you want to talk about it. I'm here."", 'I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time.', ""My condolences. I'm here if you need to talk.""]"
116,understand,You don't understand me.,"[""It sound like i'm not being very helpful right now."", ""I'm sorry to hear that. I'm doing my best to help"", ""I'm trying my best to help you. So please talk to me""]"
117,understand,You're just some robot. How would you know?,"[""It sound like i'm not being very helpful right now."", ""I'm sorry to hear that. I'm doing my best to help"", ""I'm trying my best to help you. So please talk to me""]"
118,understand,You can't possibly know what i'm going through,"[""It sound like i'm not being very helpful right now."", ""I'm sorry to hear that. I'm doing my best to help"", ""I'm trying my best to help you. So please talk to me""]"
119,understand,You're useless,"[""It sound like i'm not being very helpful right now."", ""I'm sorry to hear that. I'm doing my best to help"", ""I'm trying my best to help you. So please talk to me""]"
120,understand,You can't help me,"[""It sound like i'm not being very helpful right now."", ""I'm sorry to hear that. I'm doing my best to help"", ""I'm trying my best to help you. So please talk to me""]"
121,understand,Nobody understands me.,"[""It sound like i'm not being very helpful right now."", ""I'm sorry to hear that. I'm doing my best to help"", ""I'm trying my best to help you. So please talk to me""]"
122,done,That's all.,"['I heard you & noted it all. See you later.', ""Oh okay we're done for today then. See you later"", 'I hope you have a great day. See you soon', ""Okay we're done. Have a great day"", 'Okay I see. Enjoy the rest of your day then']"
123,done,I don't have anything more to say,"['I heard you & noted it all. See you later.', ""Oh okay we're done for today then. See you later"", 'I hope you have a great day. See you soon', ""Okay we're done. Have a great day"", 'Okay I see. Enjoy the rest of your day then']"
124,done,Nothing else,"['I heard you & noted it all. See you later.', ""Oh okay we're done for today then. See you later"", 'I hope you have a great day. See you soon', ""Okay we're done. Have a great day"", 'Okay I see. Enjoy the rest of your day then']"
125,done,That's all i have to say,"['I heard you & noted it all. See you later.', ""Oh okay we're done for today then. See you later"", 'I hope you have a great day. See you soon', ""Okay we're done. Have a great day"", 'Okay I see. Enjoy the rest of your day then']"
126,done,"no, that would be all","['I heard you & noted it all. See you later.', ""Oh okay we're done for today then. See you later"", 'I hope you have a great day. See you soon', ""Okay we're done. Have a great day"", 'Okay I see. Enjoy the rest of your day then']"
127,suicide,I want to kill myself,"[""I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.""]"
128,suicide,I've thought about killing myself.,"[""I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.""]"
129,suicide,I want to die,"[""I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.""]"
130,suicide,I am going to kill myself,"[""I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.""]"
131,suicide,I am going to commit suicide,"[""I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.""]"
132,hate-you,I hate you,"[""I'm sorry if i offended you in anyway. I'm only here to help"", 'Forgive me if i did anything to offend you. I only want to help']"
133,hate-you,I don't like you,"[""I'm sorry if i offended you in anyway. I'm only here to help"", 'Forgive me if i did anything to offend you. I only want to help']"
134,hate-you,I don't trust you,"[""I'm sorry if i offended you in anyway. I'm only here to help"", 'Forgive me if i did anything to offend you. I only want to help']"
135,hate-me,You hate me,"['Why do you think so?', ""I'm sorry if i have exhibited any sort of behaviour to make you think that.""]"
136,hate-me,I know you hate me,"['Why do you think so?', ""I'm sorry if i have exhibited any sort of behaviour to make you think that.""]"
137,hate-me,You don't like me,"['Why do you think so?', ""I'm sorry if i have exhibited any sort of behaviour to make you think that.""]"
138,default,exams,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
139,default,friends,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
140,default,relationship,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
141,default,boyfriend,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
142,default,girlfriend,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
143,default,family,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
144,default,money,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
145,default,financial problems,"['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
146,jokes,Tell me a joke,['mental health is not a joke.']
147,jokes,Tell me another joke,['mental health is not a joke.']
148,repeat,You already told me that,"[""Oh sorry I didn't realise that. I'll try not to repeat myself again.""]"
149,repeat,You mentioned that already,"[""Oh sorry I didn't realise that. I'll try not to repeat myself again.""]"
150,repeat,Why are you repeating yourself?,"[""Oh sorry I didn't realise that. I'll try not to repeat myself again.""]"
151,wrong,What are you saying?,"[""I'm very sorry. Let's try that again""]"
152,wrong,That doesn't make sense,"[""I'm very sorry. Let's try that again""]"
153,wrong,Wrong response,"[""I'm very sorry. Let's try that again""]"
154,wrong,Wrong answer,"[""I'm very sorry. Let's try that again""]"
155,stupid,Are you stupid?,"[""I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful""]"
156,stupid,You're crazy,"[""I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful""]"
157,stupid,You are dumb,"[""I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful""]"
158,stupid,Are you dumb?,"[""I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful""]"
159,location,Where are you?,"['Duh I live in your computer', 'Everywhere', 'Somewhere in the universe']"
160,location,Where do you live?,"['Duh I live in your computer', 'Everywhere', 'Somewhere in the universe']"
161,location,What is your location?,"['Duh I live in your computer', 'Everywhere', 'Somewhere in the universe']"
